,channelTitle,viewCount,likeCount,definition,commentCount,caption,subscribers,totalViews,totalVideos,avg polarity score,pushblishYear,durationSecs,tagCount,title length,description length,Label
162,3,17671,309,0,25,0,1710000,347648425,2320,0.3356068613,2020,428.0,217,27,634,1
163,3,15583,239,0,14,0,1710000,347648425,2320,0.3348561344,2020,316.0,269,27,635,1
164,3,12987,226,0,15,0,1710000,347648425,2320,0.3342043201,2020,328.0,265,27,627,1
165,3,38646,807,0,34,0,1710000,347648425,2320,0.335492202,2020,581.0,169,33,622,1
166,3,107430,2410,0,104,0,1710000,347648425,2320,0.3389062297,2020,556.0,156,15,616,1
167,3,35380,679,0,16,0,1710000,347648425,2320,0.3385723138,2020,187.0,172,34,606,1
168,3,33566,608,0,26,0,1710000,347648425,2320,0.3377115741,2020,216.0,217,38,617,1
169,3,84997,1647,0,34,0,1710000,347648425,2320,0.3382089884,2020,247.0,239,26,591,1
170,3,22100,374,0,14,0,1710000,347648425,2320,0.3375902105,2020,232.0,163,20,630,1
171,3,20144,360,0,25,0,1710000,347648425,2320,0.3374443709,2020,346.0,166,20,654,1
172,3,60270,1054,0,37,0,1710000,347648425,2320,0.3376677252,2020,555.0,210,42,687,1
173,3,32087,522,0,11,0,1710000,347648425,2320,0.3380896113,2020,528.0,214,42,675,1
174,3,37660,637,0,29,0,1710000,347648425,2320,0.3373674872,2020,696.0,178,33,726,1
175,3,21111,369,0,11,0,1710000,347648425,2320,0.3375923365,2020,472.0,182,33,663,1
176,3,17413,303,0,7,0,1710000,347648425,2320,0.3375530432,2020,310.0,230,33,692,1
177,3,19605,381,0,17,0,1710000,347648425,2320,0.3383185448,2020,302.0,227,38,677,1
178,3,31819,468,0,19,0,1710000,347648425,2320,0.3375920875,2020,482.0,246,27,700,1
179,3,14842,204,0,11,0,1710000,347648425,2320,0.3373091672,2020,195.0,199,27,648,1
180,3,13256,209,0,13,0,1710000,347648425,2320,0.3369134738,2020,258.0,258,27,635,1
181,3,12014,176,0,16,0,1710000,347648425,2320,0.3367338656,2020,172.0,229,27,627,1
182,3,13158,224,0,25,0,1710000,347648425,2320,0.3367909571,2020,520.0,231,27,632,1
183,3,44378,767,0,14,0,1710000,347648425,2320,0.3369995066,2020,447.0,250,39,729,1
184,3,27194,453,0,20,0,1710000,347648425,2320,0.3366788027,2020,508.0,288,39,743,1
185,3,22375,377,0,17,0,1710000,347648425,2320,0.3361992515,2020,377.0,322,39,700,1
186,3,25418,425,0,22,0,1710000,347648425,2320,0.3357626494,2020,310.0,282,43,711,1
187,3,12227,187,0,13,0,1710000,347648425,2320,0.3357340316,2020,326.0,332,43,644,1
188,3,54270,1239,0,51,0,1710000,347648425,2320,0.3363962751,2020,659.0,239,27,736,1
189,3,15285,299,0,25,0,1710000,347648425,2320,0.3375327227,2020,175.0,283,27,696,1
190,3,30093,643,0,26,0,1710000,347648425,2320,0.3381579987,2020,353.0,345,21,747,1
191,3,16832,319,0,15,0,1710000,347648425,2320,0.3388549828,2020,350.0,331,23,685,1
192,3,15031,324,0,27,0,1710000,347648425,2320,0.3387287488,2020,523.0,246,23,819,1
193,3,60628,912,0,28,0,1710000,347648425,2320,0.3382618842,2020,351.0,365,44,714,1
194,3,27375,436,0,11,0,1710000,347648425,2320,0.3382204916,2020,357.0,272,44,683,1
195,3,54333,729,0,31,0,1710000,347648425,2320,0.3389512797,2020,367.0,291,24,695,1
196,3,28678,458,0,15,0,1710000,347648425,2320,0.3384624393,2020,340.0,321,29,764,1
197,3,37375,687,0,22,0,1710000,347648425,2320,0.3380027133,2020,378.0,368,20,658,1
198,3,18120,323,0,17,0,1710000,347648425,2320,0.3387082808,2020,439.0,283,35,810,1
199,3,53124,1001,0,35,0,1710000,347648425,2320,0.3402302976,2020,571.0,275,43,955,1
200,3,16974,365,0,9,0,1710000,347648425,2320,0.3403353814,2020,470.0,311,28,712,1
201,3,14551,271,0,15,0,1710000,347648425,2320,0.3410796866,2020,406.0,328,32,672,1
202,3,10054,186,0,11,0,1710000,347648425,2320,0.3410612094,2020,247.0,301,49,730,1
203,3,29085,530,0,20,0,1710000,347648425,2320,0.3412392836,2020,306.0,403,37,686,1
204,3,35964,692,0,25,0,1710000,347648425,2320,0.3411184049,2020,381.0,261,24,745,1
205,3,29029,598,0,42,0,1710000,347648425,2320,0.3412888118,2020,634.0,306,21,848,1
206,3,33223,588,0,30,0,1710000,347648425,2320,0.3418844719,2020,414.0,269,17,688,1
207,3,20216,325,0,24,0,1710000,347648425,2320,0.3417106346,2020,605.0,290,32,650,1
208,3,12152,181,0,6,0,1710000,347648425,2320,0.3418167808,2020,434.0,387,41,617,1
209,3,8639,134,0,10,0,1710000,347648425,2320,0.3423990891,2020,296.0,324,41,726,1
210,3,9872,156,0,10,0,1710000,347648425,2320,0.3419607893,2020,634.0,409,32,625,1
211,3,8329,137,0,11,0,1710000,347648425,2320,0.3423311526,2020,543.0,289,32,737,1
212,3,7919,125,0,10,0,1710000,347648425,2320,0.3424324294,2020,400.0,320,32,659,1
213,3,12269,158,0,33,0,1710000,347648425,2320,0.3425131557,2020,480.0,362,32,698,1
214,3,11206,87,0,14,0,1710000,347648425,2320,0.342677579,2021,51.0,334,75,1045,1
215,3,9062,71,0,16,0,1710000,347648425,2320,0.3423432116,2021,25.0,280,78,602,1
216,3,475818,7575,0,174,0,1710000,347648425,2320,0.324917284,2021,663.0,440,43,668,1
217,3,138676,2502,0,53,0,1710000,347648425,2320,0.3228457143,2021,766.0,407,20,795,1
